id,subzone,planning_area,region,latitude,longitude,original_type,rank,venue_name,venue_address,venue_id,avg_weekday_footfall,avg_weekend_footfall,created_at,updated_at,venue_type
4846,MACPHERSON,GEYLANG,CENTRAL REGION,1.3325493,103.8852008,catering.restaurant,null,UGS,"UGS, MacPherson Road, Singapore 368230, Singapore",null,null,null,2025-04-12 16:27:06.236151,2025-04-12 16:27:06.236151,RESTAURANT
4847,MACPHERSON,GEYLANG,CENTRAL REGION,1.331974,103.88245,catering.restaurant,null,Zhup Zhup,"Zhup Zhup, 458 MacPherson Road, Singapore 368176, Singapore",null,null,null,2025-04-12 16:27:06.277469,2025-04-12 16:27:06.277469,RESTAURANT
4848,MACPHERSON,GEYLANG,CENTRAL REGION,1.3319413,103.8822976,catering.restaurant,null,Chai O’clock,"Chai O’clock, 456 MacPherson Road, Singapore 368174, Singapore",null,null,null,2025-04-12 16:27:06.312454,2025-04-12 16:27:06.312454,RESTAURANT
4850,JOO SENG,TOA PAYOH,CENTRAL REGION,1.339646,103.8855283,catering.restaurant,null,Pizza Hut,"Pizza Hut, Jalan Bunga Rampai, Singapore 534860, Singapore",null,null,null,2025-04-12 16:27:06.371791,2025-04-12 16:27:06.371791,RESTAURANT
4851,JOO SENG,TOA PAYOH,CENTRAL REGION,1.3392952,103.8858479,catering.restaurant,null,Sarpino's,"Sarpino's, Jalan Bunga Rampai, Singapore 534860, Singapore",null,null,null,2025-04-12 16:27:06.404941,2025-04-12 16:27:06.404941,RESTAURANT
4852,JOO SENG,TOA PAYOH,CENTRAL REGION,1.3386563,103.8863293,catering.restaurant,null,Jiale Kopitiam,"Jiale Kopitiam, Jalan Bunga Rampai, Singapore 534860, Singapore",null,null,null,2025-04-12 16:27:06.445734,2025-04-12 16:27:06.445734,RESTAURANT
4853,ALJUNIED,GEYLANG,CENTRAL REGION,1.3153218,103.8832825,catering.restaurant,null,Foodcourt,"Foodcourt, Sims Avenue, Singapore 388179, Singapore",null,null,null,2025-04-12 16:27:06.486326,2025-04-12 16:27:06.486326,RESTAURANT
4854,SERANGOON GARDEN,SERANGOON,NORTH-EAST REGION,1.3637293,103.8652176,catering.restaurant,null,Chong Hoe,"Chong Hoe, Serangoon Garden Way, Singapore 555965, Singapore",null,null,null,2025-04-12 16:27:06.537381,2025-04-12 16:27:06.537381,RESTAURANT
4855,SERANGOON GARDEN,SERANGOON,NORTH-EAST REGION,1.3639852,103.8654425,catering.restaurant,null,Ming Garden,"Ming Garden, Serangoon Garden Way, Singapore 555965, Singapore",null,null,null,2025-04-12 16:27:06.58111,2025-04-12 16:27:06.58111,RESTAURANT
4856,SERANGOON GARDEN,SERANGOON,NORTH-EAST REGION,1.3650386,103.8661342,catering.restaurant,null,Fatboy's,"Fatboy's, Kensington Park Road, Singapore 557255, Singapore",null,null,null,2025-04-12 16:27:06.619368,2025-04-12 16:27:06.619368,RESTAURANT
4857,SERANGOON GARDEN,SERANGOON,NORTH-EAST REGION,1.3645147,103.8660671,catering.restaurant,null,R.K. Eating House,"R.K. Eating House, Kensington Park Road, Singapore 557255, Singapore",null,null,null,2025-04-12 16:27:06.660537,2025-04-12 16:27:06.660537,RESTAURANT
4858,SERANGOON GARDEN,SERANGOON,NORTH-EAST REGION,1.3645854,103.8658138,catering.restaurant,null,Tom Yum Kung Fu,"Tom Yum Kung Fu, Kensington Park Road, Singapore 557255, Singapore",null,null,null,2025-04-12 16:27:06.699142,2025-04-12 16:27:06.699142,RESTAURANT
4859,SERANGOON GARDEN,SERANGOON,NORTH-EAST REGION,1.3644357,103.8657096,catering.restaurant,null,Sri Sun Express,"Sri Sun Express, Farleigh Avenue, Singapore 556686, Singapore",null,null,null,2025-04-12 16:27:06.736693,2025-04-12 16:27:06.736693,RESTAURANT
4860,ALJUNIED,GEYLANG,CENTRAL REGION,1.3140592,103.8863801,catering.restaurant,null,Abedin,"Abedin, Geylang Road, Singapore 389509, Singapore",null,null,null,2025-04-12 16:27:06.771375,2025-04-12 16:27:06.771375,RESTAURANT
4861,ALJUNIED,GEYLANG,CENTRAL REGION,1.3141027,103.8878373,catering.restaurant,null,Desmond's Creation,"Desmond's Creation, 592 Geylang Road, Singapore 389531, Singapore",null,null,null,2025-04-12 16:27:06.818322,2025-04-12 16:27:06.818322,RESTAURANT
4862,ALJUNIED,GEYLANG,CENTRAL REGION,1.3136546,103.8856479,catering.restaurant,null,Chai Chee Pork Porridge,"Chai Chee Pork Porridge, Geylang Road, Singapore 389504, Singapore",null,null,null,2025-04-12 16:27:06.85537,2025-04-12 16:27:06.85537,RESTAURANT
4864,KATONG,MARINE PARADE,CENTRAL REGION,1.308103,103.8952892,catering.restaurant,null,Dosa,"Dosa, Tanjong Katong Road, Singapore 436992, Singapore",null,null,null,2025-04-12 16:27:06.926972,2025-04-12 16:27:06.926972,RESTAURANT
4865,MARINE PARADE,MARINE PARADE,CENTRAL REGION,1.3050274,103.9054666,catering.restaurant,null,Nando's,"Nando's, Joo Chiat Road, Singapore 427710, Singapore",null,null,null,2025-04-12 16:27:06.957417,2025-04-12 16:27:06.957417,RESTAURANT
4866,MARINE PARADE,MARINE PARADE,CENTRAL REGION,1.3051372,103.9054054,catering.restaurant,null,Canton Paradise,"Canton Paradise, Joo Chiat Road, Singapore 427710, Singapore",null,null,null,2025-04-12 16:27:07.002641,2025-04-12 16:27:07.002641,RESTAURANT
4867,MARINE PARADE,MARINE PARADE,CENTRAL REGION,1.3052427,103.9053357,catering.restaurant,null,The Chop House,"The Chop House, Joo Chiat Road, Singapore 427710, Singapore",null,null,null,2025-04-12 16:27:07.035388,2025-04-12 16:27:07.035388,RESTAURANT
6205,CHANGI POINT,CHANGI,null,1.3894615,103.9873065,catering.cafe,null,Chock Full of Beans,"Chock Full of Beans, 4 Changi Village Road, Singapore 500004, Singapore",null,null,null,2025-04-12 16:28:25.665093,2025-04-12 16:28:25.665093,CAFE
6174,CHANGI AIRPORT,CHANGI,EAST REGION,1.36040785,103.989067153736,catering.cafe,null,O'Coffee Club Roastery,"O'Coffee Club Roastery, T1 Departure Crescent, Singapore 207663, Singapore",null,null,null,2025-04-12 16:28:24.510782,2025-04-12 16:28:24.510782,CAFE
